"congress","node","party"
40,1,"Republican"
40,2,"Republican"
40,3,"Republican"
40,4,"Republican"
40,5,"Republican"
40,6,"Republican"
40,7,"Republican"
40,8,"Republican"
40,9,"Democrat"
40,10,"Democrat"
40,11,"Democrat"
40,12,"Republican"
40,13,"Republican"
40,14,"Republican"
40,15,"Republican"
40,16,"Republican"
40,17,"Democrat"
40,18,"Republican"
40,19,"Republican"
40,20,"Republican"
40,21,"Republican"
40,22,"Democrat"
40,23,"Democrat"
40,24,"Democrat"
40,25,"Republican"
40,26,"Republican"
40,27,"Republican"
40,28,"Republican"
40,29,"Democrat"
40,30,"Democrat"
40,31,"Democrat"
40,32,"Republican"
40,33,"Republican"
40,34,"Republican"
40,35,"Republican"
40,36,"Republican"
40,37,"Republican"
40,38,"Republican"
40,39,"Republican"
40,40,"Republican"
40,41,"Republican"
40,42,"Republican"
40,43,"Republican"
40,44,"Republican"
40,45,"Republican"
40,46,"Republican"
40,47,"Republican"
40,48,"Republican"
40,49,"Republican"
40,50,"Republican"
40,51,"Republican"
40,52,"Republican"
40,53,"Republican"
40,54,"Republican"
40,55,"Republican"
40,56,"Democrat"
40,57,"Republican"
40,58,"Republican"
40,59,"Republican"
40,60,"Republican"
40,61,"Republican"
40,62,"Republican"
40,63,"Democrat"
40,64,"Republican"
40,65,"Republican"
40,66,"Republican"
40,67,"Republican"
40,68,"Republican"
40,69,"Republican"
41,1,"Republican"
41,2,"Republican"
41,3,"Republican"
41,4,"Republican"
41,5,"Republican"
41,6,"Democrat"
41,7,"Republican"
41,8,"Republican"
41,9,"Democrat"
41,10,"Democrat"
41,11,"Republican"
41,12,"Republican"
41,13,"Democrat"
41,14,"Republican"
41,15,"Republican"
41,16,"Republican"
41,17,"Republican"
41,18,"Republican"
41,19,"Republican"
41,20,"Republican"
41,21,"Republican"
41,22,"Republican"
41,23,"Republican"
41,24,"Democrat"
41,25,"Democrat"
41,26,"Republican"
41,27,"Republican"
41,28,"Republican"
41,29,"Republican"
41,30,"Republican"
41,31,"Democrat"
41,32,"Democrat"
41,33,"Republican"
41,34,"Republican"
41,35,"Republican"
41,36,"Republican"
41,37,"Republican"
41,38,"Democrat"
41,39,"Republican"
41,40,"Republican"
41,41,"Republican"
41,42,"Republican"
41,43,"Republican"
41,44,"Republican"
41,45,"Republican"
41,46,"Democrat"
41,47,"Republican"
41,48,"Republican"
41,49,"Republican"
41,50,"Republican"
41,51,"Republican"
41,52,"Republican"
41,53,"Democrat"
41,54,"Republican"
41,55,"Republican"
41,56,"Republican"
41,57,"Republican"
41,58,"Republican"
41,59,"Democrat"
41,60,"Republican"
41,61,"Republican"
41,62,"Republican"
41,63,"Republican"
41,64,"Republican"
41,65,"Republican"
41,66,"Republican"
41,67,"Republican"
41,68,"Republican"
41,69,"Republican"
41,70,"Republican"
41,71,"Republican"
41,72,"Republican"
41,73,"Republican"
41,74,"Republican"
41,75,"Democrat"
41,76,"Republican"
41,77,"Republican"
41,78,"Republican"
41,79,"Republican"
41,80,"Republican"
42,1,"Republican"
42,2,"Democrat"
42,3,"Republican"
42,4,"Republican"
42,5,"Republican"
42,6,"Democrat"
42,7,"Republican"
42,8,"Republican"
42,9,"Democrat"
42,10,"Democrat"
42,11,"Republican"
42,12,"Republican"
42,13,"Democrat"
42,14,"Republican"
42,15,"Republican"
42,16,"Republican"
42,17,"Republican"
42,18,"Republican"
42,19,"Republican"
42,20,"Republican"
42,21,"Republican"
42,22,"Republican"
42,23,"Democrat"
42,24,"Democrat"
42,25,"Democrat"
42,26,"Republican"
42,27,"Republican"
42,28,"Republican"
42,29,"Republican"
42,30,"Democrat"
42,31,"Democrat"
42,32,"Republican"
42,33,"Republican"
42,34,"Republican"
42,35,"Republican"
42,36,"Republican"
42,37,"Republican"
42,38,"Republican"
42,39,"Republican"
42,40,"Republican"
42,41,"Democrat"
42,42,"Republican"
42,43,"Republican"
42,44,"Republican"
42,45,"Republican"
42,46,"Republican"
42,47,"Republican"
42,48,"Democrat"
42,49,"Republican"
42,50,"Republican"
42,51,"Republican"
42,52,"Republican"
42,53,"Democrat"
42,54,"Republican"
42,55,"Democrat"
42,56,"Republican"
42,57,"Democrat"
42,58,"Republican"
42,59,"Republican"
42,60,"Republican"
42,61,"Republican"
42,62,"Republican"
42,63,"Republican"
42,64,"Republican"
42,65,"Democrat"
42,66,"Republican"
42,67,"Republican"
42,68,"Republican"
42,69,"Republican"
42,70,"Republican"
42,71,"Democrat"
42,72,"Democrat"
42,73,"Republican"
42,74,"Republican"
42,75,"Republican"
43,1,"Democrat"
43,2,"Republican"
43,3,"Republican"
43,4,"Republican"
43,5,"Republican"
43,6,"Democrat"
43,7,"Democrat"
43,8,"Republican"
43,9,"Republican"
43,10,"Democrat"
43,11,"Democrat"
43,12,"Democrat"
43,13,"Republican"
43,14,"Republican"
43,15,"Democrat"
43,16,"Democrat"
43,17,"Republican"
43,18,"Republican"
43,19,"Republican"
43,20,"Republican"
43,21,"Republican"
43,22,"Republican"
43,23,"Republican"
43,24,"Republican"
43,25,"Republican"
43,26,"Republican"
43,27,"Democrat"
43,28,"Democrat"
43,29,"Republican"
43,30,"Republican"
43,31,"Republican"
43,32,"Democrat"
43,33,"Democrat"
43,34,"Republican"
43,35,"Republican"
43,36,"Republican"
43,37,"Republican"
43,38,"Republican"
43,39,"Republican"
43,40,"Republican"
43,41,"Republican"
43,42,"Republican"
43,43,"Republican"
43,44,"Democrat"
43,45,"Republican"
43,46,"Republican"
43,47,"Republican"
43,48,"Republican"
43,49,"Republican"
43,50,"Republican"
43,51,"Republican"
43,52,"Democrat"
43,53,"Republican"
43,54,"Republican"
43,55,"Republican"
43,56,"Democrat"
43,57,"Democrat"
43,58,"Democrat"
43,59,"Republican"
43,60,"Democrat"
43,61,"Republican"
43,62,"Republican"
43,63,"Republican"
43,64,"Republican"
43,65,"Republican"
43,66,"Republican"
43,67,"Republican"
43,68,"Democrat"
43,69,"Republican"
43,70,"Republican"
43,71,"Republican"
43,72,"Republican"
43,73,"Republican"
43,74,"Republican"
43,75,"Democrat"
43,76,"Democrat"
43,77,"Republican"
43,78,"Republican"
43,79,"Republican"
44,1,"Democrat"
44,2,"Republican"
44,3,"Republican"
44,4,"Republican"
44,5,"Republican"
44,6,"Democrat"
44,7,"Republican"
44,8,"Republican"
44,9,"Democrat"
44,10,"Republican"
44,11,"Democrat"
44,12,"Democrat"
44,13,"Democrat"
44,14,"Democrat"
44,15,"Republican"
44,16,"Democrat"
44,17,"Democrat"
44,18,"Democrat"
44,19,"Republican"
44,20,"Republican"
44,21,"Democrat"
44,22,"Republican"
44,23,"Republican"
44,24,"Republican"
44,25,"Republican"
44,26,"Republican"
44,27,"Democrat"
44,28,"Democrat"
44,29,"Republican"
44,30,"Republican"
44,31,"Republican"
44,32,"Republican"
44,33,"Democrat"
44,34,"Democrat"
44,35,"Republican"
44,36,"Republican"
44,37,"Republican"
44,38,"Republican"
44,39,"Republican"
44,40,"Republican"
44,41,"Republican"
44,42,"Republican"
44,43,"Democrat"
44,44,"Democrat"
44,45,"Republican"
44,46,"Republican"
44,47,"Republican"
44,48,"Republican"
44,49,"Republican"
44,50,"Republican"
44,51,"Democrat"
44,52,"Republican"
44,53,"Democrat"
44,54,"Republican"
44,55,"Democrat"
44,56,"Democrat"
44,57,"Democrat"
44,58,"Republican"
44,59,"Democrat"
44,60,"Republican"
44,61,"Republican"
44,62,"Democrat"
44,63,"Republican"
44,64,"Republican"
44,65,"Republican"
44,66,"Republican"
44,67,"Democrat"
44,68,"Democrat"
44,69,"Democrat"
44,70,"Democrat"
44,71,"Republican"
44,72,"Democrat"
44,73,"Republican"
44,74,"Republican"
44,75,"Democrat"
44,76,"Democrat"
44,77,"Democrat"
44,78,"Democrat"
44,79,"Democrat"
44,80,"Democrat"
44,81,"Republican"
44,82,"Republican"
45,1,"Republican"
45,2,"Democrat"
45,3,"Democrat"
45,4,"Republican"
45,5,"Republican"
45,6,"Republican"
45,7,"Republican"
45,8,"Republican"
45,9,"Democrat"
45,10,"Democrat"
45,11,"Democrat"
45,12,"Democrat"
45,13,"Democrat"
45,14,"Republican"
45,15,"Democrat"
45,16,"Democrat"
45,17,"Republican"
45,18,"Democrat"
45,19,"Democrat"
45,20,"Republican"
45,21,"Democrat"
45,22,"Republican"
45,23,"Republican"
45,24,"Republican"
45,25,"Republican"
45,26,"Democrat"
45,27,"Democrat"
45,28,"Republican"
45,29,"Democrat"
45,30,"Republican"
45,31,"Republican"
45,32,"Democrat"
45,33,"Democrat"
45,34,"Republican"
45,35,"Republican"
45,36,"Republican"
45,37,"Republican"
45,38,"Republican"
45,39,"Republican"
45,40,"Republican"
45,41,"Republican"
45,42,"Democrat"
45,43,"Democrat"
45,44,"Democrat"
45,45,"Democrat"
45,46,"Democrat"
45,47,"Republican"
45,48,"Republican"
45,49,"Republican"
45,50,"Republican"
45,51,"Republican"
45,52,"Republican"
45,53,"Democrat"
45,54,"Democrat"
45,55,"Democrat"
45,56,"Republican"
45,57,"Democrat"
45,58,"Democrat"
45,59,"Democrat"
45,60,"Republican"
45,61,"Republican"
45,62,"Democrat"
45,63,"Republican"
45,64,"Democrat"
45,65,"Republican"
45,66,"Republican"
45,67,"Republican"
45,68,"Republican"
45,69,"Democrat"
45,70,"Republican"
45,71,"Democrat"
45,72,"Democrat"
45,73,"Democrat"
45,74,"Democrat"
45,75,"Republican"
45,76,"Republican"
45,77,"Democrat"
45,78,"Democrat"
45,79,"Democrat"
45,80,"Democrat"
45,81,"Republican"
45,82,"Republican"
46,1,"Democrat"
46,2,"Democrat"
46,3,"Democrat"
46,4,"Democrat"
46,5,"Democrat"
46,6,"Democrat"
46,7,"Democrat"
46,8,"Republican"
